A/Z_1MHz,Θ/Z_1MHz,A/Z_500kHz,Θ/Z_500kHz,A/Z_100kHz,Θ/Z_100kHz,A/Z_50kHz,Θ/Z_50kHz,A/Z_10kHz,Θ/Z_10kHz,label
0.0005475314340246477,-0.011981998796180563,0.0002794384542753703,-0.011651625916590023,5.602625851682259e-05,-0.011688383123610816,3.233757864763083e-05,-0.011809235458315534,8.254104972342665e-06,-0.012602439487028256,1
0.0005487178031529643,-0.011946323040311556,0.00027867344289307655,-0.011706699076869099,5.7021322872794454e-05,-0.011472498814936477,3.1392155323833934e-05,-0.011260951888166263,8.222573405774248e-06,-0.01266135331919514,1
0.0005482139038881965,-0.01192987336789681,0.00028304647587724794,-0.01171338887388083,6.086435531854943e-05,-0.011374449222694606,3.2189264003554884e-05,-0.011973194650322896,8.243098633004418e-06,-0.012555436543158483,1
0.0005471178688277414,-0.011924891290195715,0.00028409450320920936,-0.011815542934178415,6.346480030329675e-05,-0.011394590549652917,3.160545241942817e-05,-0.011742968386536505,8.229517476595039e-06,-0.01250588032276746,1
0.0005474416101926358,-0.011979873674697558,0.00028194795246436465,-0.011700486568372798,5.394197257785491e-05,-0.011687337453263072,3.1823718332220275e-05,-0.01137386590747986,8.220273108150711e-06,-0.01254113582533359,1
0.0005499211792474572,-0.011934732894762962,0.0002805936948201626,-0.011684781674643416,6.227002737057881e-05,-0.011587058053899566,3.2167561062326914e-05,-0.01166660179297185,8.223511442395708e-06,-0.012573638461387114,1
0.0005482388334869273,-0.011951804454668574,0.0002800740659116163,-0.011713503509881398,6.3258238150402e-05,-0.011511467035362688,3.235157266688611e-05,-0.011866300574459619,8.236856108525468e-06,-0.012559431421015574,1
0.0005491989930763785,-0.011949561542182909,0.0002791944604147088,-0.011661696879052367,6.341443645106248e-05,-0.011756524037332558,3.1912831107721695e-05,-0.011422792576450288,8.196442390571896e-06,-0.012674260839401888,1
0.0005491569592776743,-0.011963201448834424,0.0002804189232695996,-0.011722995060450148,5.571218084999336e-05,-0.011682018528037687,3.10571446719538e-05,-0.011740810340094847,8.265319704983795e-06,-0.012582851634017109,1
0.000548708701316136,-0.011916080846681481,0.00027808987294386837,-0.0116921622372765,6.123859906916252e-05,-0.011481585965614743,3.182810270145007e-05,-0.011527344499592142,8.208947785593731e-06,-0.012619190146971465,1
0.0005489411543788713,-0.011969265602261182,0.00028123758291249203,-0.011614057824552151,6.212292757432159e-05,-0.011412510117887808,3.1364683908152075e-05,-0.011627293662691685,8.26909595020844e-06,-0.012587436823597939,1
0.0005478004411834656,-0.011977695972041366,0.0002823604730391104,-0.011709082147963923,5.8894246713149194e-05,-0.011684471298501312,3.173652743184769e-05,-0.011745632606951266,8.216976198215368e-06,-0.012563346915670286,1
0.0005484033954646302,-0.011966743256843118,0.0002836202507120029,-0.011694782142898886,6.010192294449658e-05,-0.011515655748238506,3.1379965737269775e-05,-0.011777869651154684,8.246432632413772e-06,-0.01259270663578178,1
0.0005489606702200218,-0.011956717629154496,0.0002823211162928153,-0.01162270792460456,6.183539105272661e-05,-0.011616399464815423,3.243507893851009e-05,-0.011644455521789105,8.205531321421407e-06,-0.01269818136092908,1
0.0005486797063164219,-0.011966968867310841,0.0002804868359636385,-0.01170860957710083,5.685139058893655e-05,-0.01185701168607152,3.18707710502588e-05,-0.01179632828431888,8.223828871463453e-06,-0.012542609650026541,1
0.0005487757639163327,-0.011974553887144742,0.00028232070644920655,-0.011795296754129568,5.5872393309108816e-05,-0.01168109222976365,3.135254899499671e-05,-0.011910226764853007,8.220096111533841e-06,-0.012638366397740509,1
0.0005477658600335265,-0.011895279462369578,0.0002793721342937122,-0.01174123182818121,5.6120723794182776e-05,-0.011464958512953862,3.177759863396645e-05,-0.011683262156006723,8.249493007195984e-06,-0.012526653033252939,1
0.0005492459788625366,-0.012013855312624461,0.0002786140327665956,-0.01174627203754246,5.6810053977936446e-05,-0.011626215571920728,3.174789029776586e-05,-0.012041076818198052,8.241025972264171e-06,-0.012561727604006317,1
