Amp_1MHz,Phase_1MHz,Amp_500kHz,Phase_500kHz,Amp_100kHz,Phase_100kHz,Amp_50kHz,Phase_50kHz,Amp_10kHz,Phase_10kHz,Label
1817.782461,-83.29762335,3546.109525,-85.18852885,16331.42185,-85.45985918,31372.4364,-85.03913083,121295.0775,-79.97626402,0
1818.908229,-83.39336721,3561.720257,-84.77430615,15660.03717,-85.14218881,31208.35292,-84.51884262,121166.9081,-79.62334522,0
1821.183708,-83.59517059,3585.670034,-85.28957966,16891.72751,-85.80103265,31565.22829,-84.7721776,121298.0368,-79.79134845,0
1819.396693,-83.38723128,3565.351057,-85.22896471,16188.16298,-86.57928874,31560.77638,-85.5516141,122149.731,-79.51760211,0
1814.485256,-83.30528455,3571.482619,-85.22589487,15683.30587,-86.8200247,31413.72185,-85.09156312,120894.7625,-79.52083279,0
1818.00342,-83.43728279,3547.184676,-85.01508741,17362.85431,-86.81381326,31295.31872,-84.79047998,121760.1881,-79.58282688,0
1810.403678,-83.30868372,3544.456504,-85.1837791,16919.31203,-87.19358299,31454.13073,-85.08809814,121179.6035,-79.2298179,0
1824.107372,-83.42548362,3556.795196,-85.29713628,16073.28855,-86.8842762,31334.57284,-85.10770045,121088.6329,-79.63397401,0
1813.392734,-83.50204893,3572.885041,-85.44827326,16037.5945,-84.01814494,31318.91718,-84.72785043,121700.9857,-79.26904542,0
1815.786855,-83.62562212,3558.643113,-85.23155978,17024.886,-85.03853181,31442.53854,-85.30333681,121922.6113,-79.03038668,0
1821.350569,-83.45203403,3554.199204,-85.02121547,16196.87383,-86.43575214,31302.8107,-85.09188631,121132.1853,-79.38786574,0
1817.541867,-83.4067206,3564.03678,-85.35061813,17226.18646,-86.1980385,31494.09578,-85.00289837,120998.0329,-79.62696712,0
1828.522477,-83.29651256,3572.797681,-85.17983282,16904.39469,-85.6884884,31547.34503,-85.19401311,120787.4237,-79.72092238,0
1814.880181,-83.45675203,3547.754119,-85.2312499,16866.58456,-86.46667025,31334.01633,-85.10282984,121983.2627,-79.59149174,0
1822.384302,-83.36417249,3550.077202,-85.11900122,16804.1375,-85.73412012,31256.11753,-84.87167457,121099.9014,-79.25219206,0
1820.910648,-83.59412072,3554.258343,-85.42232164,16703.17928,-85.01471485,31687.82582,-84.97114986,120429.5901,-79.38390127,0
1815.48037,-83.56469327,3572.923581,-84.84934348,17029.40706,-85.83873471,31319.18588,-85.33207695,122144.5154,-79.19650222,0
1823.616907,-83.45598908,3564.402038,-85.50857695,16397.55985,-85.4620979,31360.49624,-85.41795327,120681.782,-79.23643447,0
1820.274378,-83.60867678,3583.206269,-85.34246714,16653.23202,-84.90439859,31489.13964,-85.32637465,121812.7515,-79.38744678,0
1824.812412,-83.30550089,3571.355752,-85.1054426,16968.5396,-86.0782257,31546.07429,-85.09661527,121499.1203,-79.30764249,0
1825.061187,-83.36324839,3561.726926,-85.22205262,16879.08012,-85.51399524,31419.97641,-85.1434736,121554.1011,-78.97617982,0
1831.506125,-83.3930076,3574.612786,-85.12509818,16046.78612,-86.11596029,31525.65323,-85.33883293,121095.1028,-79.08163076,0
1827.529148,-83.38333632,3564.170872,-85.36620358,16375.62577,-85.83142618,31398.65727,-85.27086391,121594.9741,-79.49384927,0
1819.323629,-83.11132684,3555.088358,-85.28960457,16732.22598,-86.13151443,31314.63225,-85.53886219,120525.0167,-79.1838161,0
1819.94806,-83.51395607,3568.8139,-85.27377977,16419.36911,-86.3383328,31667.93709,-84.97550577,121712.0251,-79.28068843,0
1826.389665,-83.79412155,3555.173539,-84.99068571,17452.73097,-85.6265316,31824.4567,-85.10861187,122221.8971,-79.14862293,0
1824.251846,-83.4059109,3559.196659,-85.15047203,16426.40513,-85.22854325,31707.67435,-85.46320549,121867.7744,-79.26011453,0
1824.179051,-83.44632146,3575.234247,-85.13115524,16535.73856,-85.65429865,31478.64573,-85.08865806,120339.9209,-79.65491303,0
1813.321064,-83.52182378,3561.070961,-85.39562588,16976.81701,-85.29725154,31727.93195,-84.70667041,120884.7108,-79.80976275,0
1820.982599,-83.59641981,3554.114911,-85.09984444,16769.02601,-86.5501381,31510.16656,-85.31208173,121303.7829,-79.28386062,0
